id,comment,graphics,matchmaking,store & microtransactions,technical_issue,mechanics,developer_support,event,community,hero_design,difficulty,timestamp,version,normalized,svm,phobert,qwen
787,"lúc nào cũng toàn ghép trúng thk phá ko phá thì cũng afk,uy tín trừ điểm phá thì cũng ko bao nhiêu, afk thì lác đác vài uy tín, nói chung game ngày càng tệ, các bậc hạng ko phù hợp với trình độ của ng chơi",0,2,0,0,0,2,0,2,0,0,2025-05-24 08:45:28,1.58.1.2,"lúc nào cũng toàn ghép trúng thằng phá không phá thì cũng afk, uy tín trừ điểm phá thì cũng không bao nhiêu, afk thì lác đác vài uy tín, nói chung game ngày càng tệ, các bậc hạng không phù hợp với trình độ của người chơi",lúc_nào cũng toàn ghép trúng thằng phá không_phá thì cũng afk uy_tín_trừ điểm phá thì cũng không_bao_nhiêu afk thì lác_đác vài uy_tín nói_chung game ngày_càng tệ các bậc hạng không_phù_hợp với trình_độ của người chơi,"lúc_nào cũng toàn ghép trúng thằng phá không phá thì cũng afk , uy_tín_trừ điểm phá thì cũng không bao_nhiêu , afk thì lác_đác vài uy_tín , nói_chung game ngày_càng tệ , các bậc hạng không phù_hợp với trình_độ của người chơi","lúc nào cũng toàn ghép trúng thằng phá không phá thì cũng afk, uy tín trừ điểm phá thì cũng không bao nhiêu, afk thì lác đác vài uy tín, nói chung game ngày càng tệ, các bậc hạng không phù hợp với trình độ của người chơi"
788,Nói luân! Cộng Đồng thì rác Cơ chế lỗi thời Ping giật 200ms K=1 góc xưa Không biết là cải tiến hay đi lùi,0,0,0,2,2,0,0,2,0,0,2025-05-15 13:28:10,1.56.1.6,nói luôn! cộng đồng thì tệ hại cơ chế lỗi thời ping giật 200ms không 1 góc xưa không biết là cải tiến hay đi lùi,nói luôn cộng_đồng thì tệ_hại cơ_chế lỗi_thời ping giật 200ms không_1 góc xưa không_biết là cải_tiến hay đi lùi,nói luôn ! cộng_đồng thì tệ_hại cơ_chế lỗi_thời ping giật 200 ms không 1 góc xưa không biết là cải_tiến hay đi lùi,nói luôn! cộng đồng thì tệ hại cơ chế lỗi thời ping giật 200ms không 1 góc xưa không biết là cải tiến hay đi lùi
789,game này chán lắm toàn phá game thôi :((,0,0,0,0,0,0,0,2,0,0,2025-05-08 12:27:33,1.58.1.2,game này chán lắm toàn phá game thôi,game này chán lắm toàn phá game thôi,game này chán lắm toàn phá game thôi,game này chán lắm toàn phá game thôi
790,tai về quá chậm,0,0,0,2,0,0,0,0,0,0,2025-05-19 18:50:12,1.58.1.2,tải về quá chậm,tải về quá chậm,tải về quá chậm,tải về quá chậm
791,vote z chớ vẫn chơi,0,0,0,0,0,0,0,0,0,0,2025-05-07 13:03:15,1.58.1.2,vote gì chớ vẫn chơi,vote gì chớ vẫn chơi,vote gì chớ vẫn chơi,vote gì chớ vẫn chơi
792,rất lỗi game tôi xl đã cho 1 sao như mà rất lỗi game tôi bắt buộc phải cho 1sao x in cảm ơn,0,0,0,2,0,0,0,0,0,0,2025-05-28 10:54:06,unknown,rất lỗi game tôi xin lỗi đã cho 1 sao nhưng mà rất lỗi game tôi bắt buộc phải cho 1 sao xin cảm ơn,rất lỗi game tôi xin_lỗi đã cho <NUM> sao nhưng mà rất lỗi game tôi bắt_buộc phải cho <NUM> sao xin cảm_ơn,rất lỗi game tôi xin_lỗi đã cho 1 sao nhưng_mà rất lỗi game tôi bắt_buộc phải cho 1 sao xin cảm_ơn,rất lỗi game tôi xin lỗi đã cho 1 sao nhưng mà rất lỗi game tôi bắt buộc phải cho 1 sao xin cảm ơn
793,mạng mượt đét vẫn lag lag cc game loll,0,0,0,2,0,0,0,0,0,0,2025-05-04 12:53:44,1.58.1.2,mạng mượt đét vẫn lag lag tệ hại game tệ hại,mạng mượt đét vẫn lag lag tệ_hại game tệ_hại,mạng mượt_đét vẫn lag_lag tệ_hại game tệ_hại,mạng mượt đét vẫn lag lag tệ hại game tệ hại
794,"e sẽ vote 1 sao cho shop cho đến khi nào e k đơ lúc vô trận thì, đã out ra vào lại mọe tận 3 lần vì đơ r, mà mất luôn cái mvp, win méo đc tính sao, vccut , shop xem như lào chứ wifi nhà e khỏe lắm, nhiều ng cx ý kiến ạ",0,0,0,2,0,2,0,0,0,0,2025-05-06 22:45:34,1.58.1.2,"em sẽ vote 1 sao cho shop cho đến khi nào em không đơ lúc vô trận thì, đã out ra vào lại tệ hại tận 3 lần vì đơ rồi, mà mất luôn cái mvp, win méo được tính sao, vô cùng , shop xem như thế nào chứ wifi nhà em khỏe lắm, nhiều người cũng ý kiến ạ",em sẽ vote <NUM> sao cho shop cho đến khi nào em không_đơ lúc vô trận thì đã out ra vào lại tệ_hại tận <NUM> lần vì đơ rồi mà mất luôn cái mvp win méo được tính sao vô_cùng shop xem như thế_nào chứ wifi nhà em khỏe lắm nhiều người cũng ý_kiến ạ,"em sẽ vote 1 sao cho shop cho đến khi nào em không đơ lúc vô_trận thì , đã out ra_vào lại tệ_hại tận 3 lần vì đơ rồi , mà mất luôn cái mvp , win_méo được tính sao , vô_cùng , shop xem như_thế_nào chứ wifi nhà em khỏe lắm , nhiều người cũng ý_kiến ạ","em sẽ vote 1 sao cho shop cho đến khi nào em không đơ lúc vô trận thì, đã out ra vào lại tệ hại tận 3 lần vì đơ rồi, mà mất luôn cái mvp, win méo được tính sao, vô cùng , shop xem như thế nào chứ wifi nhà em khỏe lắm, nhiều người cũng ý kiến ạ"
795,toàn phá game,0,0,0,0,0,0,0,2,0,0,2025-05-30 17:51:11,1.58.1.2,toàn phá game,toàn phá game,toàn phá game,toàn phá game
796,game càng ngày càng giật lag không hiểu vì sao luôn trong khi đó wifi thì đày mà nó bị lag giật mong nhà phát triển xem lại,0,0,0,2,0,2,0,0,0,0,2025-05-25 09:43:14,1.57.1.2,game càng ngày càng giật lag không hiểu vì sao luôn trong khi đó wifi thì đầy mà nó bị lag giật mong nhà phát triển xem lại,game càng ngày_càng giật lag không_hiểu vì_sao luôn trong khi đó wifi thì đầy mà nó bị lag giật mong nhà phát_triển xem_lại,game càng_ngày_càng giật_lag không hiểu vì sao luôn trong khi đó wifi thì đầy mà nó bị lag giật mong nhà phát_triển xem_lại,game càng ngày càng giật lag không hiểu vì sao luôn trong khi đó wifi thì đầy mà nó bị lag giật mong nhà phát triển xem lại
797,đang đánh thì nó hồi máu,0,0,0,0,2,0,0,0,0,0,2025-05-13 17:51:55,1.58.1.2,đang đánh thì nó hồi máu,đang đánh thì nó hồi máu,đang đánh thì nó hồi máu,đang đánh thì nó hồi máu
798,t thừa điểm đến thứ 2 reset dell vô đc top mà t thừa điểm nhá,0,2,0,2,0,0,0,0,0,0,2025-05-05 21:33:18,1.58.1.2,tôi thừa điểm đến thứ hai reset không vô được top mà tôi thừa điểm nhá,tôi thừa điểm đến thứ hai reset không_vô được top mà tôi thừa điểm nhá,tôi thừa_điểm đến thứ hai reset không vô được top mà tôi thừa_điểm nhá,tôi thừa điểm đến thứ hai reset không vô được top mà tôi thừa điểm nhá
799,afk có30 giây bay 3 uy tín,0,0,0,0,2,0,0,0,0,0,2025-05-21 15:47:17,1.58.1.2,afk có 30 giây bay 3 uy tín,afk có <NUM> giây bay <NUM> uy_tín,afk có 30 giây bay 3 uy_tín,afk có 30 giây bay 3 uy tín
800,sao ko cho tôi chơi trên PC vậy hả garena,0,0,0,0,0,2,0,0,0,0,2025-05-24 23:09:50,1.58.1.2,sao không cho tôi chơi trên pc vậy hả garena,sao không_cho tôi chơi trên pc vậy hả garena,sao không cho tôi chơi trên pc vậy hả garena,sao không cho tôi chơi trên pc vậy hả garena
801,Game l gì vậy? rác toàn sv,0,0,0,0,0,0,0,2,0,0,2025-05-26 13:10:59,1.58.1.2,game tệ hại gì vậy? tệ hại toàn tệ hại,game tệ_hại gì vậy tệ_hại toàn tệ_hại,game tệ_hại gì vậy ? tệ_hại toàn tệ_hại,game tệ hại gì vậy? tệ hại toàn tệ hại
802,nói thật là garena cho mấy thk trẻ trâu cút hết đi cho game nó bớt rác,0,0,0,0,0,2,0,2,0,0,2025-05-15 00:21:21,1.58.1.2,nói thật là garena cho mấy thằng trẻ trâu cút hết đi cho game nó bớt tệ hại,nói thật là garena cho mấy thằng trẻ trâu cút hết đi cho game nó bớt tệ_hại,nói thật là garena cho mấy thằng trẻ trâu cút hết đi cho game nó bớt tệ_hại,nói thật là garena cho mấy thằng trẻ trâu cút hết đi cho game nó bớt tệ hại
803,game toàn gặp buff bẩn phá game đã vậy rồi tố cáo thì nó không bị chừ uy tín,0,2,0,0,0,2,0,2,0,0,2025-05-05 11:00:36,1.58.1.2,game toàn gặp buff bẩn phá game đã vậy rồi tố cáo thì nó không bị trừ uy tín,game toàn gặp buff bẩn phá game đã vậy rồi tố_cáo thì nó không_bị trừ uy_tín,game toàn gặp buff bẩn phá game đã vậy rồi tố_cáo thì nó không bị trừ uy_tín,game toàn gặp buff bẩn phá game đã vậy rồi tố cáo thì nó không bị trừ uy tín
804,"nút báo cáo vô dụng , hack map , sv chơi game tràn lan , tranh land các kiểu .T kh thể hiểu sao có thể ghép đc như v còn có các thành phần thô tục",0,2,0,2,0,2,0,2,0,0,2025-05-15 21:48:01,1.58.1.2,"nút báo cáo vô dụng , hack map , server chơi game tràn lan , tranh lane các kiểu .tôi không thể hiểu sao có thể ghép được như vậy còn có các thành phần tệ hại",nút báo_cáo vô_dụng hack map server chơi game tràn_lan tranh lane các kiểu tôi không_thể hiểu sao có_thể ghép được như_vậy còn có các thành_phần tệ_hại,"nút báo_cáo vô_dụng , hack map , server chơi game tràn_lan , tranh_lane các kiểu . tôi không_thể hiểu sao có_thể ghép được như_vậy còn có các thành_phần tệ_hại","nút báo cáo vô dụng , hack map , server chơi game tràn lan , tranh lane các kiểu .tôi không thể hiểu sao có thể ghép được như vậy còn có các thành phần tệ hại"
805,vì tôi tải ko đc,0,0,0,2,0,0,0,0,0,0,2025-05-27 13:38:24,unknown,vì tôi tải không được,vì tôi tải không_được,vì tôi tải không được,vì tôi tải không được
806,team có đứa afk còn ghi cả thông báo do ... afk nên đc bồi thường * thế * bồi thường của t đâu ???,0,2,0,0,0,2,0,2,0,0,2025-05-14 19:56:03,1.58.1.2,team có đứa afk còn ghi cả thông báo do afk nên được bồi thường thế bồi thường của tôi đâu ???,team có đứa afk còn ghi cả thông_báo do afk nên được bồi_thường thế bồi_thường của tôi đâu,team có đứa afk còn ghi cả thông_báo do afk nên được bồi_thường thế bồi_thường của tôi đâu ? ? ?,team có đứa afk còn ghi cả thông báo do afk nên được bồi thường thế bồi thường của tôi đâu ???
807,game ngu học vậy?tên đàng hoàng cũng cấm,0,0,0,0,2,0,0,0,0,0,2025-05-06 20:58:37,1.58.1.2,game tệ hại vậy?tên đàng hoàng cũng cấm,game tệ_hại vậy tên đàng_hoàng cũng cấm,game tệ_hại vậy ? tên đàng_hoàng cũng cấm,game tệ hại vậy?tên đàng hoàng cũng cấm
808,sửa lại hệ thống tố cáo dùm hộ t. Chơi không đến nỗi nào mà suốt ngày trừ uy tín đm,0,0,0,0,2,2,0,0,0,0,2025-05-20 08:56:44,1.58.1.2,sửa lại hệ thống tố cáo dùm hộ tôi. chơi không đến nỗi nào mà suốt ngày trừ uy tín tệ hại,sửa lại hệ_thống tố_cáo dùm hộ tôi chơi không_đến_nỗi nào mà suốt ngày trừ uy_tín tệ_hại,sửa lại hệ_thống tố_cáo dùm hộ tôi . chơi không đến_nỗi nào mà suốt ngày trừ uy_tín tệ_hại,sửa lại hệ thống tố cáo dùm hộ tôi. chơi không đến nỗi nào mà suốt ngày trừ uy tín tệ hại
809,tại sửa chiêu 1 lau nên đánh giá 1 sao,0,0,0,0,2,0,0,0,0,0,2025-05-14 17:24:42,1.58.1.2,tại sửa chiêu 1 lâu nên đánh giá 1 sao,tại sửa chiêu <NUM> lâu nên đánh_giá <NUM> sao,tại sửa chiêu 1 lâu nên đánh_giá 1 sao,tại sửa chiêu 1 lâu nên đánh giá 1 sao
810,Valhein ứt chế .đề nghị Gà rán giảm sức mạnh nặn nề,0,0,0,0,2,2,0,0,2,0,2025-05-06 18:08:17,1.58.1.2,valhein ức chế .đề nghị gà rán giảm sức mạnh nặng nề,valhein ức_chế đề_nghị gà rán giảm sức_mạnh nặng_nề,valhein ức_chế . đề_nghị gà rán giảm sức_mạnh nặng_nề,valhein ức chế .đề nghị gà rán giảm sức mạnh nặng nề
811,làm ăn như kẹc quà hết rồi ko xoá đi còn để đó nữa làm t tốn thời gian đi viewing party thực sự quá chán luôn,0,0,0,2,0,2,0,0,0,0,2025-05-10 19:18:53,1.58.1.2,làm ăn như tệ hại quà hết rồi không xóa đi còn để đó nữa làm tôi tốn thời gian đi viewing party thực sự quá chán luôn,làm_ăn như tệ_hại quà hết rồi không_xóa đi còn để đó nữa làm tôi tốn thời_gian đi viewing party thực_sự quá chán luôn,làm_ăn như tệ_hại quà hết rồi không xóa đi còn để đó nữa làm tôi tốn thời_gian đi viewing_party thực_sự quá chán luôn,làm ăn như tệ hại quà hết rồi không xóa đi còn để đó nữa làm tôi tốn thời gian đi viewing party thực sự quá chán luôn
812,lỗi vào chs ko đc,0,0,0,2,0,0,0,0,0,0,2025-05-01 12:46:58,1.58.1.2,lỗi vào chơi không được,lỗi vào chơi không_được,lỗi vào chơi không được,lỗi vào chơi không được
813,"game đôi khi mạng mạnh nhưng không di chuyển hay dùng chiêu được. Đã thế lại còn bị khi đánh rank mà cứ báo afk. DM đóng băng game của người ta mà cứ coi như afk. Yêu cầu garena fix ngay lập tức! T vừa bị trừ 8 uy tín vì afk, trong khi rõ ràng mình bị game cho đóng băng dù mạng có 30 ms.",0,0,0,2,0,2,0,0,0,0,2025-05-27 12:32:28,1.58.1.2,"game đôi khi mạng mạnh nhưng không di chuyển hay dùng chiêu được. đã thế lại còn bị khi đánh rank mà cứ báo afk. tệ hại đóng băng game của người ta mà cứ coi như afk. yêu cầu garena fix ngay lập tức! tôi vừa bị trừ 8 uy tín vì afk, trong khi rõ ràng mình bị game cho đóng băng dù mạng có 30 ms.",game đôi_khi mạng mạnh nhưng không_di_chuyển hay dùng chiêu được đã thế lại còn bị khi đánh rank mà cứ báo afk tệ_hại đóng_băng game của người_ta mà cứ coi như afk yêu_cầu garena fix ngay lập_tức tôi vừa bị trừ <NUM> uy_tín vì afk trong khi rõ_ràng mình bị game cho đóng_băng dù mạng có <NUM> ms,"game đôi_khi mạng mạnh nhưng không di_chuyển hay dùng chiêu được . đã thế lại còn bị khi đánh rank mà cứ báo afk . tệ_hại đóng_băng game của người ta mà cứ coi như afk . yêu_cầu garena_fix ngay_lập_tức ! tôi vừa bị trừ 8 uy_tín vì afk , trong khi rõ_ràng mình bị game cho đóng_băng dù mạng có 30 ms .","game đôi khi mạng mạnh nhưng không di chuyển hay dùng chiêu được. đã thế lại còn bị khi đánh rank mà cứ báo afk. tệ hại đóng băng game của người ta mà cứ coi như afk. yêu cầu garena fix ngay lập tức! tôi vừa bị trừ 8 uy tín vì afk, trong khi rõ ràng mình bị game cho đóng băng dù mạng có 30 ms."
814,"cập nhật lag còn bắt tải hết tài nguyên, tắt thì không cho tắt",0,0,0,2,0,0,0,0,0,0,2025-05-12 14:43:39,1.58.1.2,"cập nhật lag còn bắt tải hết tài nguyên, tắt thì không cho tắt",cập_nhật lag còn bắt tải hết tài_nguyên tắt thì không_cho tắt,"cập_nhật lag còn bắt_tải hết tài_nguyên , tắt thì không cho tắt","cập nhật lag còn bắt tải hết tài nguyên, tắt thì không cho tắt"
815,Game l ghép chen let hang ko lắc vol,0,2,0,2,0,0,0,0,0,0,2025-05-21 07:43:35,1.58.1.2,game tệ hại ghép trận lệch hạng không lag vô cùng,game tệ_hại ghép trận lệch hạng không_lag vô_cùng,game tệ_hại ghép trận lệch hạng không lag vô_cùng,game tệ hại ghép trận lệch hạng không lag vô cùng
816,"gì đau mới mất mạng đc có 1 phúc mà nói afk , còn máy người ko làm gì hết ko đánh ở nhà lại như là ko có gì hết tố cáo cũng ko đc còn mày người chs hết trận mà lại bị tố cáo mất hết trên quy tin rồi con ai chs đc nửa hả lq",0,2,0,2,0,0,0,2,0,0,2025-05-18 09:54:55,1.58.1.2,"gì đâu mới mất mạng được có 1 phút mà nói afk , còn mấy người không làm gì hết không đánh ở nhà lại như là không có gì hết tố cáo cũng không được còn mấy người chơi hết trận mà lại bị tố cáo mất hết điểm uy tín rồi còn ai chơi được nữa hả liên quân",gì đâu mới mất_mạng được có <NUM> phút mà nói afk còn mấy người không_làm gì hết không_đánh ở nhà lại như là không_có gì hết tố_cáo cũng không_được còn mấy người chơi hết trận mà_lại bị tố_cáo mất hết điểm uy_tín rồi còn ai chơi được nữa hả liên_quân,"gì đâu mới mất_mạng được có 1 phút mà nói afk , còn mấy người không làm gì hết không đánh ở nhà lại như là không có gì hết tố_cáo cũng không được còn mấy người chơi hết trận mà_lại bị tố_cáo mất hết điểm uy_tín rồi còn ai chơi được nữa hả liên_quân","gì đâu mới mất mạng được có 1 phút mà nói afk , còn mấy người không làm gì hết không đánh ở nhà lại như là không có gì hết tố cáo cũng không được còn mấy người chơi hết trận mà lại bị tố cáo mất hết điểm uy tín rồi còn ai chơi được nữa hả liên quân"
817,tao không hiểu sao game làm ăn kiểu gì mà cứ chơi 2 trận xong là lag tao mới bị ao game nên tức viết đánh giá,0,0,0,2,0,2,0,0,0,0,2025-05-28 20:36:10,1.58.1.2,tôi không hiểu sao game làm ăn kiểu gì mà cứ chơi 2 trận xong là lag tôi mới bị ao game nên tức viết đánh giá,tôi không_hiểu sao game làm_ăn kiểu gì mà cứ chơi <NUM> trận xong là lag tôi mới bị ao game nên tức viết đánh_giá,tôi không hiểu sao game làm_ăn kiểu gì mà cứ chơi 2 trận xong là lag tôi mới bị ao game nên tức viết đánh_giá,tôi không hiểu sao game làm ăn kiểu gì mà cứ chơi 2 trận xong là lag tôi mới bị ao game nên tức viết đánh giá
818,game dở vãi ra,0,0,0,0,0,0,0,0,0,0,2025-05-13 15:07:21,1.58.1.2,game dở vô cùng,game dở vô_cùng,game dở vô_cùng,game dở vô cùng
819,được!,0,0,0,0,0,0,0,0,0,0,2025-05-04 21:40:53,1.58.1.2,được!,được,được !,được!
820,sinh chào bộ phận phát triển game tôi có thể hỏi là tại sao vòng quay huyền bí tôi đã qua gần cả ngàn lần rồi nhưng không ra nổi trang phục vallhein vũ khí tối thượng mong khắc phục sự cố,0,0,2,0,0,2,0,0,0,0,2025-05-13 15:39:08,1.58.1.2,xin chào bộ phận phát triển game tôi có thể hỏi là tại sao vòng quay huyền bí tôi đã quay gần cả ngàn lần rồi nhưng không ra nổi trang phục vallhein vũ khí tối thượng mong khắc phục sự cố,xin chào bộ_phận phát_triển game tôi có_thể hỏi là tại_sao vòng quay huyền_bí tôi đã quay gần cả ngàn lần rồi nhưng không_ra nổi trang_phục vallhein vũ_khí tối_thượng mong khắc_phục sự_cố,xin chào_bộ_phận phát_triển game tôi có_thể hỏi là tại_sao vòng quay huyền_bí tôi đã quay gần cả ngàn lần rồi nhưng không ra nổi trang_phục vallhein vũ_khí_tối thượng_mong khắc_phục sự_cố,xin chào bộ phận phát triển game tôi có thể hỏi là tại sao vòng quay huyền bí tôi đã quay gần cả ngàn lần rồi nhưng không ra nổi trang phục vallhein vũ khí tối thượng mong khắc phục sự cố
821,tín điểm như qq,0,0,0,0,2,0,0,0,0,0,2025-05-18 23:49:12,1.58.1.2,tính điểm như tệ hại,tính điểm như tệ_hại,tính điểm như tệ_hại,tính điểm như tệ hại
822,co che tinh mvp nhu lon danh bth keu pha game tru uy tin,0,2,0,0,2,0,0,0,0,0,2025-05-03 14:55:25,1.58.1.2,cơ chế tính mvp như tệ hại đánh bình thường kêu phá game trừ uy tín,cơ_chế tính mvp như tệ_hại đánh bình_thường kêu phá game trừ uy_tín,cơ_chế tính mvp như tệ_hại đánh bình_thường kêu phá game_trừ uy_tín,cơ chế tính mvp như tệ hại đánh bình thường kêu phá game trừ uy tín
823,game đb game rác ghép 4 trận có afk liên tiếp,0,2,0,0,0,0,0,2,0,0,2025-05-03 00:32:05,1.58.1.2,game tệ hại game tệ hại ghép 4 trận có afk liên tiếp,game tệ_hại game tệ_hại ghép <NUM> trận có afk liên_tiếp,game tệ_hại game tệ_hại ghép 4 trận có afk liên_tiếp,game tệ hại game tệ hại ghép 4 trận có afk liên tiếp
824,toàn gặp thành phần pick tướng troll với phá game nhưng đánh xong trận ra tố vẫn ko trừ uy tín chán game,0,0,0,0,2,2,0,2,0,0,2025-05-18 01:26:39,1.58.1.2,toàn gặp thành phần pick tướng troll với phá game nhưng đánh xong trận ra tố vẫn không trừ uy tín chán game,toàn gặp thành_phần pick tướng troll với phá game nhưng đánh xong trận ra tố vẫn không_trừ uy_tín chán game,toàn gặp thành_phần pick_tướng troll với phá game nhưng đánh xong trận ra_tố vẫn không trừ uy_tín chán game,toàn gặp thành phần pick tướng troll với phá game nhưng đánh xong trận ra tố vẫn không trừ uy tín chán game
825,Tôi rất thất vọng về Liên quân 1 game mà tôi gắn bó nhiều năm nhưng lại vô cớ khoá ACC Lq fb của tôi . ACC đó tôi rất tâm huyết cớ sao k có bằng chứng k có lí do hợp lại bất thình lình khoá ACC tôi ? chả có lời giải thích gì ? Tài khoản bất thường là cái gì ? giờ phải bắt tôi cam chịu nhìn cái ACC của tôi lặng lẽ chờ đợi 3 năm sau ? Các ông đùa tôi à . Tôi đâu rảnh đâu mà chờ làm thế mà coi có lẽ tôi đã đánh giá quá cao về con game này các ông k xứng đáng được đánh giá 5 sao kể cả 1 sao này.Tệ !,0,0,0,2,0,2,0,0,0,0,2025-05-19 22:23:50,1.58.1.2,tôi rất thất vọng về liên quân 1 game mà tôi gắn bó nhiều năm nhưng lại vô cớ khóa tài khoản liên quân facebook của tôi . tài khoản đó tôi rất tâm huyết cớ sao không có bằng chứng không có lí do hợp lại bất thình lình khóa tài khoản tôi ? chả có lời giải thích gì ? tài khoản bất thường là cái gì ? giờ phải bắt tôi cam chịu nhìn cái tài khoản của tôi lặng lẽ chờ đợi 3 năm sau ? các ông đùa tôi à . tôi đâu rảnh đâu mà chờ làm thế mà coi có lẽ tôi đã đánh giá quá cao về con game này các ông không xứng đáng được đánh giá 5 sao kể cả 1 sao này.tệ !,tôi rất thất_vọng về liên_quân <NUM> game mà tôi gắn_bó nhiều năm nhưng lại vô_cớ khóa tài_khoản liên_quân facebook của tôi tài_khoản đó tôi rất tâm_huyết cớ_sao không_có bằng_chứng không_có_lí_do hợp lại bất thình_lình khóa tài_khoản tôi chả_có lời giải_thích gì tài_khoản bất_thường là cái gì giờ phải bắt tôi cam_chịu nhìn cái tài_khoản của tôi lặng_lẽ chờ_đợi <TIME> sau các ông đùa tôi à tôi đâu rảnh đâu mà chờ làm thế_mà coi có_lẽ tôi đã đánh_giá quá cao về con game này các ông không_xứng_đáng được đánh_giá <NUM> sao kể_cả <NUM> sao này tệ,tôi rất thất_vọng về liên_quân 1 game mà tôi gắn_bó nhiều năm nhưng lại vô_cớ khóa tài_khoản liên_quân facebook của tôi . tài_khoản đó tôi rất tâm_huyết_cớ sao không có bằng_chứng không có lí_do hợp lại bất_thình_lình khóa tài_khoản tôi ?_chả có lời giải_thích gì ? tài_khoản bất_thường là cái gì ? giờ phải bắt tôi cam_chịu nhìn cái tài_khoản của tôi lặng_lẽ chờ_đợi 3 năm sau ? các ông đùa tôi à . tôi đâu rảnh đâu mà chờ làm thế mà coi có_lẽ tôi đã đánh_giá quá cao về con game này các ông không xứng_đáng được đánh_giá 5 sao kể_cả 1 sao này . tệ !,tôi rất thất vọng về liên quân 1 game mà tôi gắn bó nhiều năm nhưng lại vô cớ khóa tài khoản liên quân facebook của tôi . tài khoản đó tôi rất tâm huyết cớ sao không có bằng chứng không có lí do hợp lại bất thình lình khóa tài khoản tôi ? chả có lời giải thích gì ? tài khoản bất thường là cái gì ? giờ phải bắt tôi cam chịu nhìn cái tài khoản của tôi lặng lẽ chờ đợi 3 năm sau ? các ông đùa tôi à . tôi đâu rảnh đâu mà chờ làm thế mà coi có lẽ tôi đã đánh giá quá cao về con game này các ông không xứng đáng được đánh giá 5 sao kể cả 1 sao này.tệ !
826,tụt uy tín nhanh hơn tụt quần,0,0,0,0,2,0,0,0,0,0,2025-05-04 20:10:48,1.58.1.2,tụt uy tín nhanh hơn tụt quần,tụt uy_tín nhanh hơn tụt quần,tụt uy_tín nhanh hơn tụt quần,tụt uy tín nhanh hơn tụt quần
827,gem như ck một thằng 5/1/9 ko mvp mà 1/9/18 mvp thịt lun,0,0,0,0,2,0,0,0,0,0,2025-05-13 20:05:09,1.58.1.2,game tệ hại một thằng 5 1 9 không mvp mà 1 9 18 mvp thật luôn,game tệ_hại một thằng <NUM> <NUM> <NUM> không_mvp mà <NUM> <NUM> <NUM> mvp thật luôn,game tệ_hại một thằng 5 1 9 không mvp mà 1 9 18 mvp thật luôn,game tệ hại một thằng 5 1 9 không mvp mà 1 9 18 mvp thật luôn
828,"cái chức năng tố cáo trong game chả thấy cái tác dụng gì luôn, tố cáo hơn chục thằng phá game mà nó cứ báo ko có vi phạm trong khi nó phá hết trận luôn mong nhà phát thành game sửa cái",0,0,0,0,2,1,0,2,0,0,2025-05-04 14:14:05,1.58.1.2,"cái chức năng tố cáo trong game chả thấy cái tác dụng gì luôn, tố cáo hơn chục thằng phá game mà nó cứ báo không có vi phạm trong khi nó phá hết trận luôn mong nhà phát hành game sửa cái",cái chức_năng tố_cáo trong game chả_thấy cái tác_dụng gì luôn tố_cáo hơn chục thằng phá game mà nó cứ báo không_có vi_phạm trong khi nó phá hết trận luôn mong nhà phát_hành game sửa cái,"cái chức_năng tố_cáo trong game chả thấy cái tác_dụng gì luôn , tố_cáo hơn chục thằng phá game mà nó cứ báo không có vi_phạm trong khi nó phá hết trận luôn mong nhà phát_hành game sửa cái","cái chức năng tố cáo trong game chả thấy cái tác dụng gì luôn, tố cáo hơn chục thằng phá game mà nó cứ báo không có vi phạm trong khi nó phá hết trận luôn mong nhà phát hành game sửa cái"
829,má tải xong tài nguyên cái bất người ta tải lại đm có phải 1 lần đâu khoảng 5-6 lần má lắc chết mẹ đm cay quá cho 1 sao mong garena liên quân khất phục,0,0,0,2,0,1,0,0,0,0,2025-05-21 07:01:59,1.58.1.2,má tải xong tài nguyên cái bắt người ta tải lại tệ hại có phải 1 lần đâu khoảng 5 6 lần má lag chết mẹ tệ hại cay quá cho 1 sao mong garena liên quân khắc phục,má tải xong tài_nguyên cái bắt người_ta tải lại tệ_hại có phải <NUM> lần đâu khoảng <NUM> <NUM> lần má lag chết mẹ tệ_hại cay quá cho <NUM> sao mong garena liên_quân khắc_phục,má tải xong tài_nguyên cái bắt người ta tải lại tệ_hại có phải 1 lần đâu khoảng 5 6 lần má lag chết mẹ tệ_hại cay quá cho 1 sao mong garena liên_quân khắc_phục,má tải xong tài nguyên cái bắt người ta tải lại tệ hại có phải 1 lần đâu khoảng 5 6 lần má lag chết mẹ tệ hại cay quá cho 1 sao mong garena liên quân khắc phục
830,ghép toàn trẻ con chơi,0,2,0,0,0,0,0,0,0,0,2025-05-29 13:30:08,unknown,ghép trận toàn trẻ con chơi,ghép trận toàn trẻ_con chơi,ghép trận toàn trẻ_con chơi,ghép trận toàn trẻ con chơi
